"","Comment","Verdict","test_amazon_model"
"16","Highly recommend for any one who has a blue tooth phone.",1,"1"
"26","Great Pocket PC / phone combination.",1,"1"
"27","I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.",1,"0"
"31","This is a simple little phone to use, but the breakage is unacceptible.",0,"1"
"34","I have two more years left in this contract and I hate this phone.",0,"1"
"36","You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.",0,"1"
"37","It has kept up very well.",1,"1"
"51","Not loud enough and doesn't turn on like it should.",0,"1"
"53","A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.",1,"0"
"54","This phone is pretty sturdy and I've never had any large problems with it.",1,"1"
"55","I love this thing!",1,"1"
"56","Everything about it is fine and reasonable for the price i.e.",1,"1"
"68","It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.",1,"1"
"70","This device is great in several situations:1.)",1,"1"
"72","Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,"1"
"77","Do Not Buy for D807...wrongly advertised for D807.",0,"0"
"78","This is a great little item.",1,"1"
"79","I love this phone , It is very handy and has a lot of features .",1,"0"
"82","Not a good bargain.",0,"1"
"86","The headsets are easy to use and everyone loves them.",1,"0"
"89","Product was excellent and works better than the verizon one and Boy was it cheaper!",1,"1"
"90","The phone loads super!",1,"1"
"91","For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,"0"
"95","Dont waste your money...",0,"0"
"98","I found this product to be waaay too big.",0,"0"
"111","Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,"0"
"114","Great product, fast shipping!.",1,"1"
"118","It is very comfortable on the ear.",1,"1"
"120",")Setup couldn't have been simpler.",1,"1"
"121","I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.",1,"1"
"125","Gets the job done.",1,"1"
"126","Great audio!.",1,"1"
"132","The accompanied software is almost brilliant.",1,"1"
"136","The majority of the Logitech earbud headsets failed.",0,"1"
"137","Very good stuff for the price.",1,"1"
"141","What a waste.",0,"1"
"150","After 3 months, screen just went black all of a sudden.",0,"0"
"157","Nice quality build, unlike some cheap s*** out there.",1,"0"
"159","And I just love the colors!",1,"1"
"165","I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,"1"
"169","doesn't last long.",0,"0"
"170","One thing I hate is the mode set button at the side.",0,"1"
"180","If you like a loud buzzing to override all your conversations, then this phone is for you!",0,"1"
"188","Great phone!.",1,"1"
"189","Waste of 13 bucks.",0,"1"
"193","Lately they have been extremely nice and helpful on the phone.",1,"1"
"206","great headset, very impressed - H500.",1,"1"
"208","I've had this for nearly 2 years and it has worked great for me.",1,"1"
"210","We are sending it back.",0,"1"
"216","I would highly recommend this.",1,"1"
"223","Simple, lightweight and great fit.",1,"1"
"231","The battery is completely useless to me.",0,"0"
"233","Don't waste your $$$ on this one.",0,"1"
"243","Worst Customer Service Ever.",0,"1"
"244","No additional ear gels provided, and no instructions whatsoever.",0,"1"
"248","Nice headphones for the price and they work great!",1,"1"
"258","Great Earpiece.",1,"1"
"265","THAT one didn't work either.",0,"0"
"268","It's a great item.",1,"1"
"275","Avoid this one if you can.",0,"1"
"280","Comfort for our whole family.",1,"0"
"282","I love this bluetooth!",1,"1"
"289","Poorly contstruct hinge.",0,"1"
"293","Excellent Phone.",1,"1"
"298","This one works and was priced right.",1,"1"
"302","Now I know that I made a wise decision.",1,"0"
"303","Someone shouldve invented this sooner.",1,"1"
"308","As many people complained, I found this headset's microphone was very weak.",0,"1"
"312","The instruction manual is lacking.",0,"0"
"315","The battery is unreliable as well as the service use antena.",0,"1"
"323","The Ngage is still lacking in earbuds.",0,"0"
"336","1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.",0,"1"
"337","Obviously there is a problem with the adhesive.",0,"1"
"347","Reception is terrible and full of static.",0,"0"
"355","Excellent starter wireless headset.",0,"1"
"374","The worst phone I've ever had.... Only had it for a few months.",0,"1"
"377","Protects the phone on all sides.",1,"1"
"378","This is a VERY average phone with bad battery life that operates on a weak network.",0,"1"
"381","Great Hands Free Device.",1,"1"
"399","Sounds good reasonably priced and effective, Its that simple !",1,"0"
"406","I especially love the long battery life.",1,"1"
"417","An Awesome New Look For Fall 2000!.",1,"1"
"418","This is the first phone I've had that has been so cheaply made.",0,"1"
"420","The plastic breaks really easy on this clip.",0,"1"
"422","Don't make the same mistake I did.",0,"0"
"424","I'm using it with an iriver SPINN (with case) and it fits fine.",1,"1"
"430","My Sanyo has survived dozens of drops on blacktop without ill effect.",1,"1"
"436","Warning - Stay away.",0,"1"
"448","Very happy with this product.",1,"1"
"450","There's really nothing bad I can say about this headset.",0,"1"
"451","i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1,"0"
"455","I've also had problems with the phone reading the memory card in which I always turn it on and then off again.",0,"1"
"459","Very well made and fits my Surefire GX2 perfectly.",1,"1"
"466","The battery works great!",1,"1"
"468","Very disappointed in AccessoryOne.",0,"1"
"481","The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.",1,"0"
"486","A Disappointment.",0,"1"
"493","I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1,"1"
"496","Plug was the wrong size.",0,"0"
"513","The sound is clear and the people I talk to on it are amazed at the quality too.",1,"1"
"518","I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",1,"0"
"523","I ended up sliding it on the edge of my pants or back pockets instead.",1,"1"
"526","REALLY UGLY.",0,"1"
"527","horrible, had to switch 3 times.",0,"1"
"532","They refuse to refund or replace.",0,"1"
"533","Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.",0,"1"
"540","none of the new ones have ever quite worked properly.",0,"1"
"541","I am glad I purchased it.",1,"1"
"544","Don't buy this product.",0,"1"
"546","No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",1,"0"
"551","I love the camera, it's really pretty good quality.",1,"1"
"553","Its a total package.",1,"1"
"565","Yet Plantronincs continues to use the same flawed charger design.",0,"0"
"575","I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",1,"1"
"579","It does everything the description said it would.",1,"1"
"586","It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0,"1"
"589","I only used it two days, and it wasn't always easy to hear with.",0,"1"
"601","Their Research and Development division obviously knows what they're doing.",1,"1"
"606","This is infuriating.",0,"1"
"608","Sprint charges for this service.",0,"1"
"609","It is cheap, and it feel and look just as cheap.",0,"1"
"614","I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.",1,"1"
"615","the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.",0,"1"
"617","Poor product.",0,"1"
"618","However I needed some better instructions.",0,"0"
"621","Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.",0,"1"
"624","Plus, I seriously do not believe it is worth its steep price point.",0,"1"
"628","This phone might well be the worst I've ever had in any brand.",0,"1"
"635","Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",1,"0"
"638","However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",0,"1"
"640","Disappointing accessory from a good manufacturer.",0,"1"
"641","Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",0,"1"
"644","They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",1,"1"
"650","I'm pleased.",1,"1"
"651","Battery is terrible.",0,"1"
"655","The charger arrived within the promised timeframe, but it did not work.",0,"1"
"656","No ear loop needed, it's tiny and the sound is great.",1,"0"
"661","This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.",0,"0"
"672","A must study for anyone interested in the ""worst sins"" of industrial design.",0,"0"
"688","i would advise to not purchase this item it never worked very well.",0,"1"
"693","I have to use the smallest earpieces provided, but it stays on pretty well.",1,"1"
"700","Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",1,"1"
"711","Can't store anything but phone numbers to SIM.",0,"0"
"718","Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",0,"0"
"727","This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1,"1"
"731","This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.",1,"1"
"732","None of the three sizes they sent with the headset would stay in my ears.",0,"1"
"733","T-Mobile has the best customer service anywhere.",1,"1"
"740","I great reception all the time.",1,"1"
"742","Couldn't use the unit with sunglasses, not good in Texas!",0,"1"
"747","stay away from this store, be careful.",0,"1"
"749","Does not fit.",0,"1"
"750",".... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.",1,"1"
"753","Blue Ant is easy to use.",1,"1"
"762","They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.",1,"1"
"767","But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",0,"1"
"773","I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",0,"0"
"775","Excellent sound, battery life and inconspicuous to boot!.",1,"1"
"781","I am sorry I made this purchase.",0,"1"
"791","NOT WHAT I WANTED.",0,"1"
"794","I bought this battery with a coupon from Amazon and I'm very happy with my purchase.",1,"1"
"799","$50 Down the drain.",0,"1"
"806","Does Not Work.",0,"1"
"809","2 thumbs up to this seller",1,"1"
"816","I checked everywhere and there is no feature for it which is really disappointing.",0,"1"
"817","Product is exactly as described.",1,"0"
"821","Plan on ordering from them again and again.",1,"1"
"822","That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1,"1"
"823","I have been very satisfied with this cell phone from day one.",1,"1"
"825","Awkward to use and unreliable.",0,"1"
"826","The shipping time was also very quick!",1,"1"
"835","However, the ear pads come off easily and after only one week I lost one.",0,"0"
"848","Very unreliable service from T-mobile !",0,"1"
"855","Comfortable in my hand.",1,"0"
"857","Poor Reliability.",0,"1"
"873","I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.",1,"0"
"875","Good Quality.",1,"1"
"881","The bottowm line...another worthless, cheap gimmick from Sprint.",0,"1"
"888","Best headset ever!!!.",1,"1"
"889","Don't trust their website and don't expect any helpful support.",0,"1"
"891","The speaker is of low quality so as making the ring tones sound very cheap.",0,"0"
"896","It was quite comfortable in the ear.",1,"1"
"903","The cutouts and buttons are placed perfectly.",1,"1"
"906","Not nearly as good looking as the AMAZON picture makes it look.",0,"0"
"909","I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1,"0"
"923","Happy so far!.",1,"1"
"927","It looses connection to the phone even when it is within a couple feet between the two.",0,"0"
"938","The headset fulfills my requirements so I am happy with my purchase.",1,"1"
"942","I have tried these cables with my computer and my iPod and it works just fine.",1,"1"
"946","It is easy to turn on and off when you are in the car and the volume controls are quite accessable.",1,"1"
"952","Very much disappointed with this company.",0,"0"
"957","Just reading on the specs alone makes you say WOW.",1,"1"
"960","However, the keypads are so tinny that I sometimes reach the wrong buttons.",0,"1"
"962","I was very impressed with the price of the cases.",1,"1"
"963","Also makes it easier to hold on to.",1,"1"
"967","however, my girl was complain that some time the phone doesn't wake up like normal phone does.",0,"0"
"971","I plugged it in only to find out not a darn thing worked.",0,"1"
"985","Adapter does not provide enough charging current.",0,"1"
"997","What a piece of junk.. I lose more calls on this phone.",0,"1"
"1000","You can not answer calls with the unit, never worked once!",0,"0"
